title,organization_name,organization_type,amount,currency,total_slots,application_deadline,status
PM Vidya Lakshmi Scholarship,"PM Office, Govt. of India",GOVERNMENT,15000,INR,500,2025-09-30,ACTIVE
Tata Trust Merit Award,Tata Trusts,NGO,40000,INR,100,2025-10-15,ACTIVE
HDFC Parivartan Scholarship,HDFC Bank,PRIVATE,75000,INR,30,2025-11-01,ACTIVE
Reliance Foundation Scholarship,Reliance Foundation,PRIVATE,100000,INR,25,2025-10-31,ACTIVE
Azim Premji Foundation Education Grant,Azim Premji Foundation,NGO,50000,INR,200,2025-11-15,ACTIVE
State Merit Scholarship Delhi,Govt. of NCT Delhi,GOVERNMENT,10000,INR,300,2025-09-15,ACTIVE
Narotam Sekhsaria Foundation Scholarship,Narotam Sekhsaria Foundation,NGO,25000,INR,80,2025-12-01,ACTIVE
ONGC Scholarship for Meritorious Students,ONGC,PRIVATE,48000,INR,50,2025-10-20,ACTIVE
Sitaram Jindal Foundation Scholarship,Sitaram Jindal Foundation,NGO,18000,INR,150,2025-11-30,ACTIVE
Central Sector Scheme of Scholarships,"MHRD, Govt. of India",GOVERNMENT,20000,INR,400,2025-12-15,ACTIVE
Infosys Prize Student Award,Infosys Foundation,PRIVATE,60000,INR,40,2025-10-01,ACTIVE
Wipro Earthian Scholarship,Wipro Foundation,PRIVATE,35000,INR,45,2025-11-10,ACTIVE
L&T Build India Scholarship,Larsen & Toubro,PRIVATE,80000,INR,20,2025-12-20,ACTIVE
Mahindra All India Talent Scholarship,Mahindra Group,PRIVATE,55000,INR,35,2025-10-10,ACTIVE
Kotak Kanya Scholarship,Kotak Mahindra Bank,PRIVATE,30000,INR,60,2025-11-25,ACTIVE
